company_name,ratings,rating_count,highly_rated,critical_rated,location,salaries,interviews,jobs,benefits
Adani Electricity,3.5,373,NaN,"Promotions, Job Security, Company Culture",Power | Mumbai +39 other locations,NaN,NaN,NaN,NaN
Campus Activewear,4.0,373,"Work Life Balance, Salary, Job Security",Promotions,Fashion & Textile | New Delhi +53 other locations,NaN,NaN,NaN,NaN
Awign Enterprises,3.6,373,NaN,"Promotions, Job Security, Salary",Internet | Bengaluru +52 other locations,NaN,NaN,NaN,NaN
Satyam Venture Engineering Services,3.3,373,NaN,"Promotions, Salary, Skill Development",Auto Components | Hyderabad +12 other locations,NaN,NaN,NaN,NaN
T&M Services consulting,3.6,374,NaN,"Promotions, Job Security, Salary",Recruitment | Mumbai +96 other locations,NaN,NaN,NaN,NaN
Endava,3.4,373,NaN,"Promotions, Work Satisfaction, Job Security",IT Services & Consulting | Bengaluru +13 other locations,NaN,NaN,NaN,NaN
Pranav Vikas India Private Limited,3.7,373,NaN,"Job Security, Promotions",Automobile | Faridabad +16 other locations,NaN,NaN,NaN,NaN
Utkarsh India,3.6,374,NaN,"Company Culture, Work Life Balance, Promotions",Iron & Steel | Kolkata +21 other locations,NaN,NaN,NaN,NaN
Berar Finance,3.6,373,NaN,"Promotions, Job Security, Company Culture",NBFC | Nagpur +98 other locations,NaN,NaN,NaN,NaN
Maxxis Rubber,3.5,373,NaN,"Promotions, Company Culture, Work Satisfaction",Auto Components | Ahmedabad +18 other locations,NaN,NaN,NaN,NaN
Hitachi Vantara,3.5,373,Work Life Balance,"Promotions, Job Security, Skill Development",IT Services & Consulting | Hyderabad +14 other locations,NaN,NaN,NaN,NaN
Moser Baer,3.9,372,"Work Life Balance, Skill Development, Work Satisfaction",NaN,Consumer Electronics & Appliances | Noida +12 other locations,NaN,NaN,NaN,NaN
Johnson Controls Hitachi Air Conditioning,3.7,372,NaN,"Promotions, Skill Development, Work Satisfaction",Consumer Electronics & Appliances | Ahmedabad +37 other locations,NaN,NaN,NaN,NaN
Johnson Controls Hitachi Air Conditioning,3.7,372,NaN,"Promotions, Skill Development, Work Satisfaction",Consumer Electronics & Appliances | Ahmedabad +37 other locations,NaN,NaN,NaN,NaN
TRL Krosaki Refractories,3.9,373,"Work Life Balance, Job Security",Promotions,Metals & Mining | Jharsuguda +23 other locations,NaN,NaN,NaN,NaN
Toshiba JSW Power Systems,4.3,372,"Work Life Balance, Salary, Company Culture",NaN,Industrial Machinery | Chennai +14 other locations,NaN,NaN,NaN,NaN
Sj Contracts,4.2,372,"Company Culture, Job Security, Skill Development",NaN,Engineering & Construction | Pune +9 other locations,NaN,NaN,NaN,NaN
Zara,3.5,372,NaN,"Promotions, Work Life Balance, Company Culture",Fashion & Textile | New Delhi +22 other locations,NaN,NaN,NaN,NaN
Kokuyo Camlin,3.8,372,"Job Security, Work Life Balance, Company Culture","Promotions, Salary",FMCG | Mumbai +66 other locations,NaN,NaN,NaN,NaN
Evolent Health International,3.8,372,"Work Life Balance, Company Culture, Work Satisfaction","Job Security, Promotions",Software Product | Pune +4 other locations,NaN,NaN,NaN,NaN
Planetcast,3.6,372,Job Security,"Promotions, Salary, Company Culture",Media & Entertainment | Noida +14 other locations,NaN,NaN,NaN,NaN
Uneecops Technologies,3.7,371,Job Security,"Promotions, Work Satisfaction, Skill Development",IT Services & Consulting | Noida +26 other locations,NaN,NaN,NaN,NaN
Mitra SK,3.8,371,"Skill Development, Work Life Balance","Promotions, Salary",Other | Kolkata +49 other locations,NaN,NaN,NaN,NaN
Choice Consultancy Services,3.7,372,NaN,"Job Security, Promotions, Company Culture",Management Consulting | Mumbai +68 other locations,NaN,NaN,NaN,NaN
RedBus,4.1,371,"Job Security, Work Life Balance, Company Culture","Promotions, Salary",Internet | Bengaluru +21 other locations,NaN,NaN,NaN,NaN
QUADRANT TECHNOLOGIES INDIA PRIVATE LIMITED,3.8,371,Work Life Balance,NaN,IT Services & Consulting | Hyderabad +13 other locations,NaN,NaN,NaN,NaN
Trident Hotels,4.0,371,"Skill Development, Job Security, Company Culture",NaN,Hospitality | Mumbai +18 other locations,NaN,NaN,NaN,NaN
Vedant Fashions,4.1,371,"Company Culture, Work Life Balance, Work Satisfaction",Promotions,Fashion & Textile | Kolkata +51 other locations,NaN,NaN,NaN,NaN
RWS Group,3.6,371,Work Life Balance,"Promotions, Skill Development, Salary",IT Services & Consulting | Indore +22 other locations,NaN,NaN,NaN,NaN
Department of Agriculture,4.2,371,"Work Life Balance, Work Satisfaction, Company Culture",NaN,Agriculture | Bengaluru +145 other locations,NaN,NaN,NaN,NaN
Offshoot Agency,3.3,374,NaN,"Promotions, Salary, Job Security",IT Services & Consulting | New Delhi +22 other locations,NaN,NaN,NaN,NaN
Toshiba Transmission & Distribution Systems,3.8,371,"Job Security, Work Life Balance","Promotions, Company Culture",Electrical Equipment | Hyderabad +23 other locations,NaN,NaN,NaN,NaN
Actalent Services,3.6,372,Work Life Balance,"Promotions, Salary, Work Satisfaction",Engineering & Construction | Bengaluru +9 other locations,NaN,NaN,NaN,NaN
Mobiloitte Technologies,3.0,370,NaN,"Job Security, Company Culture, Work Life Balance",IT Services & Consulting | New Delhi +9 other locations,NaN,NaN,NaN,NaN
N Ranga Rao And Sons,3.8,370,"Company Culture, Work Life Balance",Promotions,FMCG | Mysuru +79 other locations,NaN,NaN,NaN,NaN
Enterprise Growth Accelerator,3.5,370,NaN,"Job Security, Promotions, Skill Development",Analytics & KPO | Faridabad +9 other locations,NaN,NaN,NaN,NaN
Birla Cement,4.1,370,"Company Culture, Work Life Balance, Job Security",NaN,Building Material | Satna +75 other locations,NaN,NaN,NaN,NaN
