company_name,ratings,rating_count,highly_rated,critical_rated,location,salaries,interviews,jobs,benefits
Prothious Engineering Services,2.8,137,NaN,"Company Culture, Work Satisfaction, Work Life Balance",Design | Chennai +5 other locations,NaN,NaN,NaN,NaN
Yahoo,4.3,137,"Company Culture, Work Life Balance, Salary",Job Security,Internet | Bengaluru +8 other locations,NaN,NaN,NaN,NaN
Digicommerce Solutions LLP,4.6,137,"Company Culture, Work Life Balance, Work Satisfaction",NaN,Internet | Noida +5 other locations,NaN,NaN,NaN,NaN
Smile Electronics,3.6,137,NaN,"Promotions, Company Culture, Salary",Electronics Manufacturing | Bengaluru +5 other locations,NaN,NaN,NaN,NaN
Just Dogs,3.4,137,NaN,"Company Culture, Promotions, Work Life Balance",Internet | Ahmedabad +14 other locations,NaN,NaN,NaN,NaN
AIDA Cruises,3.5,137,NaN,"Promotions, Salary, Work Satisfaction",Travel & Tourism | Mumbai +12 other locations,NaN,NaN,NaN,NaN
Mangalam Information Technolgies,3.3,137,NaN,"Promotions, Salary, Work Satisfaction",IT Services & Consulting | Ahmedabad +6 other locations,NaN,NaN,NaN,NaN
Cascade Revenue Management,3.3,137,NaN,"Job Security, Promotions, Company Culture",IT Services & Consulting | Kochi +7 other locations,NaN,NaN,NaN,NaN
Jss Pro Services,3.9,137,Work Life Balance,Promotions,Financial Services | Hyderabad +5 other locations,NaN,NaN,NaN,NaN
Jai Raj Ispat,3.6,137,NaN,"Promotions, Work Satisfaction",Iron & Steel | Kurnool +6 other locations,NaN,NaN,NaN,NaN
Electrostar Electronics,4.0,138,"Work Satisfaction, Skill Development, Salary",NaN,Noida +57 other locations,NaN,NaN,NaN,NaN
Idea Infinity IT Solutions,3.0,137,NaN,"Work Life Balance, Promotions, Company Culture",IT Services & Consulting | Bengaluru +13 other locations,NaN,NaN,NaN,NaN
Times Network,3.1,137,NaN,"Promotions, Skill Development, Company Culture",Broadcasting | Mumbai +10 other locations,NaN,NaN,NaN,NaN
Jolly Containers,3.7,137,Salary,"Company Culture, Work Satisfaction, Promotions",Petrochemicals | Daman & Diu +14 other locations,NaN,NaN,NaN,NaN
Ashland,4.1,137,"Work Life Balance, Company Culture, Work Satisfaction",Promotions,Chemicals | Hyderabad +10 other locations,NaN,NaN,NaN,NaN
Sumitomo Mitsui Banking Corporation,2.7,137,NaN,"Promotions, Work Satisfaction, Skill Development",Financial Services | New Delhi +8 other locations,NaN,NaN,NaN,NaN
Nucsoft,2.7,137,NaN,"Promotions, Company Culture, Salary",IT Services & Consulting | Mumbai +7 other locations,NaN,NaN,NaN,NaN
Viztar International,3.4,137,NaN,"Promotions, Job Security, Salary",Education & Training | Mumbai +18 other locations,NaN,NaN,NaN,NaN
Shahnaz Husain Group Of Companies,3.2,137,NaN,"Promotions, Skill Development, Company Culture",Beauty & Personal Care | New Delhi +19 other locations,NaN,NaN,NaN,NaN
Vandhana International,3.6,137,Salary,"Skill Development, Work Satisfaction, Promotions",Railways | New Delhi +14 other locations,NaN,NaN,NaN,NaN
Rinac India Limited,3.9,137,Job Security,Promotions,Engineering & Construction | Bengaluru +18 other locations,NaN,NaN,NaN,NaN
Sarita Handa Exports,3.5,137,NaN,"Promotions, Work Satisfaction, Company Culture",Architecture & Interior Design | Gurugram +9 other locations,NaN,NaN,NaN,NaN
Transformers & Rectifiers (India),4.1,137,"Job Security, Work Life Balance",NaN,Electrical Equipment | Ahmedabad +5 other locations,NaN,NaN,NaN,NaN
Oman Shapoorji Llc,3.5,137,NaN,"Promotions, Job Security, Salary",Engineering & Construction | Muscat +11 other locations,NaN,NaN,NaN,NaN
TalentOla,3.3,137,NaN,"Company Culture, Work Life Balance, Work Satisfaction",Recruitment | Indore +7 other locations,NaN,NaN,NaN,NaN
Voltech Hr Services,3.3,137,NaN,"Promotions, Company Culture, Job Security",Recruitment | Chennai +33 other locations,NaN,NaN,NaN,NaN
ISKCON,3.6,137,NaN,"Promotions, Salary, Job Security",Non-Profit | Bengaluru +28 other locations,NaN,NaN,NaN,NaN
Protiviti Consulting,2.9,137,NaN,"Work Satisfaction, Promotions, Company Culture",Management Consulting | Gurugram +12 other locations,NaN,NaN,NaN,NaN
Axis Clinicals,4.1,137,"Job Security, Work Life Balance, Company Culture",NaN,Clinical Research | Hyderabad +5 other locations,NaN,NaN,NaN,NaN
Ramdev Food Products,4.5,137,"Salary, Company Culture, Work Life Balance",NaN,Food Processing | Ahmedabad +20 other locations,NaN,NaN,NaN,NaN
PressureJet Systems Pvt. Ltd.,4.0,137,"Skill Development, Work Satisfaction, Work Life Balance",NaN,Industrial Machinery | Ahmedabad +7 other locations,NaN,NaN,NaN,NaN
Sinclus Engineering Consulting,4.1,137,"Company Culture, Work Life Balance, Salary","Promotions, Job Security",IT Services & Consulting | Mumbai +49 other locations,NaN,NaN,NaN,NaN
PhableCare,2.8,136,NaN,"Job Security, Promotions, Company Culture",Internet | Bengaluru +7 other locations,NaN,NaN,NaN,NaN
Manpasand Beverages,3.8,136,"Work Life Balance, Salary",NaN,Beverage | Vadodara +31 other locations,NaN,NaN,NaN,NaN
Allzone Management Solutions,4.0,136,"Job Security, Work Life Balance, Work Satisfaction",NaN,Healthcare | Chennai +5 other locations,NaN,NaN,NaN,NaN
Thinkapps Solutions,3.5,136,NaN,"Promotions, Job Security, Salary",Recruitment | Mumbai +28 other locations,NaN,NaN,NaN,NaN
Bansal Classes,3.3,136,NaN,"Job Security, Promotions, Company Culture",Education & Training | Pune +48 other locations,NaN,NaN,NaN,NaN
H-one India,3.9,136,"Company Culture, Work Life Balance, Work Satisfaction",Promotions,Auto Components | Noida +11 other locations,NaN,NaN,NaN,NaN
HP ADHESIVES,3.9,136,"Salary, Work Life Balance",Promotions,Chemicals | Mumbai +41 other locations,NaN,NaN,NaN,NaN
Andhra Pradesh Grama/Ward Sachivalayam,4.1,136,"Work Life Balance, Job Security","Promotions, Salary",Government | Hyderabad +47 other locations,NaN,NaN,NaN,NaN
Reynold India,4.6,136,"Work Satisfaction, Company Culture, Work Life Balance",NaN,Industrial Machinery | Noida +13 other locations,NaN,NaN,NaN,NaN
Apex Kidney Care,3.8,136,Skill Development,Promotions,Healthcare | Mumbai +19 other locations,NaN,NaN,NaN,NaN
Norwegian Cruise Line,4.2,136,Salary,Promotions,Travel & Tourism | Mumbai +10 other locations,NaN,NaN,NaN,NaN
Food Service India,4.0,136,"Salary, Work Life Balance, Company Culture",NaN,Food Processing | Mumbai +26 other locations,NaN,NaN,NaN,NaN
XSEED Education,3.0,136,NaN,"Promotions, Job Security, Company Culture",EdTech | Bengaluru +21 other locations,NaN,NaN,NaN,NaN
Tafe Access,3.7,136,"Work Satisfaction, Skill Development","Promotions, Salary",Automobile | Chennai +13 other locations,NaN,NaN,NaN,NaN
Arbro Pharmaceuticals,3.8,136,"Job Security, Work Life Balance, Work Satisfaction",NaN,Pharma | New Delhi +8 other locations,NaN,NaN,NaN,NaN
Hitachi Automotive Systems,4.2,136,"Job Security, Company Culture","Promotions, Salary",Auto Components | Chennai +12 other locations,NaN,NaN,NaN,NaN
B. E. Billimoria,3.9,136,"Work Life Balance, Salary, Company Culture",Promotions,Engineering & Construction | Mumbai +14 other locations,NaN,NaN,NaN,NaN
Fipola Retail,3.7,136,NaN,"Salary, Job Security",Food Processing | Chennai +6 other locations,NaN,NaN,NaN,NaN
Rieco Industries,3.1,138,NaN,"Job Security, Promotions, Company Culture",Industrial Machinery | Pune +6 other locations,NaN,NaN,NaN,NaN
Khandelwal Laboratories,4.1,136,"Company Culture, Work Life Balance, Work Satisfaction",Promotions,Pharma | Mumbai +19 other locations,NaN,NaN,NaN,NaN
Fixderma,3.6,136,NaN,"Company Culture, Job Security, Promotions",Beauty & Personal Care | Gurugram +22 other locations,NaN,NaN,NaN,NaN
Insurance Company,4.1,136,"Work Life Balance, Work Satisfaction, Skill Development",NaN,New Delhi +53 other locations,NaN,NaN,NaN,NaN
Emonics,3.7,137,NaN,"Promotions, Job Security, Work Satisfaction",IT Services & Consulting | Noida +8 other locations,NaN,NaN,NaN,NaN
Sourcedesk,4.1,136,"Work Life Balance, Company Culture, Work Satisfaction",NaN,IT Services & Consulting | Kolkata +2 other locations,NaN,NaN,NaN,NaN
Pravin Electricals,4.0,136,"Work Satisfaction, Skill Development, Company Culture",NaN,Electrical Equipment | Mumbai +15 other locations,NaN,NaN,NaN,NaN
Multi Mantech International,2.3,136,NaN,"Promotions, Company Culture, Job Security",Engineering & Construction | Ahmedabad +27 other locations,NaN,NaN,NaN,NaN
ClinChoice,3.8,136,"Work Life Balance, Company Culture","Promotions, Skill Development, Salary",Clinical Research | Bengaluru +2 other locations,NaN,NaN,NaN,NaN
Shilpa Steel and Power,3.3,136,NaN,"Promotions, Job Security, Company Culture",Iron & Steel | Nagpur +4 other locations,NaN,NaN,NaN,NaN
Tokai Rika Minda,3.6,136,NaN,"Promotions, Salary",Semiconductors | Bengaluru +9 other locations,NaN,NaN,NaN,NaN
Svarn Infratel,3.5,136,NaN,"Job Security, Promotions, Company Culture",Hardware & Networking | Faridabad +8 other locations,NaN,NaN,NaN,NaN
Andhra Pradesh Grama/Ward Sachivalayam,4.1,136,"Work Life Balance, Job Security","Promotions, Salary",Government | Hyderabad +47 other locations,NaN,NaN,NaN,NaN
Bansal Classes,3.3,136,NaN,"Job Security, Promotions, Company Culture",Education & Training | Pune +48 other locations,NaN,NaN,NaN,NaN
RELX Group,3.5,136,NaN,"Promotions, Skill Development, Job Security",Analytics & KPO | Chennai +11 other locations,NaN,NaN,NaN,NaN
H-one India,3.9,136,"Company Culture, Work Life Balance, Work Satisfaction",Promotions,Auto Components | Noida +11 other locations,NaN,NaN,NaN,NaN
Linamar,3.7,136,NaN,"Promotions, Work Life Balance, Work Satisfaction",Pune +4 other locations,NaN,NaN,NaN,NaN
Gammastack,3.0,138,NaN,"Job Security, Promotions, Company Culture",IT Services & Consulting | Indore +6 other locations,NaN,NaN,NaN,NaN
HP ADHESIVES,3.9,136,"Salary, Work Life Balance",Promotions,Chemicals | Mumbai +41 other locations,NaN,NaN,NaN,NaN
Reynold India,4.6,136,"Work Satisfaction, Company Culture, Work Life Balance",NaN,Industrial Machinery | Noida +13 other locations,NaN,NaN,NaN,NaN
Apex Kidney Care,3.8,136,Skill Development,Promotions,Healthcare | Mumbai +19 other locations,NaN,NaN,NaN,NaN
FIL Industries,3.2,136,NaN,"Promotions, Salary, Work Satisfaction",Chemicals | Srinagar +11 other locations,NaN,NaN,NaN,NaN
Signals & Systems (India) Private Limited,3.8,136,"Job Security, Work Life Balance, Skill Development",Promotions,Electronics Manufacturing | Chennai +23 other locations,NaN,NaN,NaN,NaN
UTI Mutual Fund,3.7,136,Work Life Balance,"Promotions, Salary, Work Satisfaction",Financial Services | Mumbai +57 other locations,NaN,NaN,NaN,NaN
Gigmo Solutions,3.5,136,NaN,"Company Culture, Job Security, Promotions",IT Services & Consulting | Gurugram +8 other locations,NaN,NaN,NaN,NaN
Anjan Drug,3.2,136,NaN,"Company Culture, Promotions, Work Satisfaction",Pharma | Chennai +4 other locations,NaN,NaN,NaN,NaN
EasyRewardz Software Services,2.8,136,NaN,"Job Security, Promotions, Salary",IT Services & Consulting | Gurugram +6 other locations,NaN,NaN,NaN,NaN
Mantle Solutions,3.2,136,NaN,"Promotions, Salary, Skill Development",IT Services & Consulting | Kochi +6 other locations,NaN,NaN,NaN,NaN
Accurate Background,3.6,136,Salary,"Promotions, Job Security, Skill Development",Recruitment | Mumbai +7 other locations,NaN,NaN,NaN,NaN
FundsIndia,3.0,136,NaN,"Work Satisfaction, Promotions, Company Culture",FinTech | Chennai +12 other locations,NaN,NaN,NaN,NaN
Accurate Background,3.6,136,Salary,"Promotions, Job Security, Skill Development",Recruitment | Mumbai +7 other locations,NaN,NaN,NaN,NaN
FIL Industries,3.2,136,NaN,"Promotions, Salary, Work Satisfaction",Chemicals | Srinagar +11 other locations,NaN,NaN,NaN,NaN
EGDK,3.7,136,"Work Life Balance, Company Culture, Work Satisfaction","Job Security, Promotions",Software Product | Mangaluru +1 other locations,NaN,NaN,NaN,NaN
MGM Healthcare,3.9,137,NaN,"Promotions, Salary",Healthcare | Chennai +7 other locations,NaN,NaN,NaN,NaN
Signals & Systems (India) Private Limited,3.8,136,"Job Security, Work Life Balance, Skill Development",Promotions,Electronics Manufacturing | Chennai +23 other locations,NaN,NaN,NaN,NaN
Marquis Technologies,3.2,136,NaN,"Company Culture, Promotions, Work Life Balance",IT Services & Consulting | Mumbai +7 other locations,NaN,NaN,NaN,NaN
Orris Infrastructure,4.1,136,"Work Satisfaction, Salary, Company Culture",NaN,Real Estate | Gurugram +5 other locations,NaN,NaN,NaN,NaN
Datwyler Group,3.9,136,"Work Life Balance, Company Culture, Work Satisfaction","Promotions, Job Security",Pharma | Pune +6 other locations,NaN,NaN,NaN,NaN
Anand Engineering Products,3.1,136,NaN,"Promotions, Job Security, Work Life Balance",Engineering & Construction | Tiruchirappalli +9 other locations,NaN,NaN,NaN,NaN
KWALITY DAIRY (INDIA),3.9,135,Salary,"Promotions, Skill Development",FMCG | New Delhi +16 other locations,NaN,NaN,NaN,NaN
Electronics for Imaging,3.9,135,Work Life Balance,"Promotions, Skill Development",Printing & Publishing | Bengaluru +6 other locations,NaN,NaN,NaN,NaN
Dunkin' Donuts,3.7,135,Salary,"Work Life Balance, Work Satisfaction, Promotions",Hospitality | New Delhi +24 other locations,NaN,NaN,NaN,NaN
Tata Trusts,4.3,135,"Work Life Balance, Company Culture, Work Satisfaction",Promotions,Non-Profit | Mumbai +33 other locations,NaN,NaN,NaN,NaN
Glen Appliances,4.1,135,"Work Life Balance, Work Satisfaction, Salary",Promotions,Consumer Electronics & Appliances | Faridabad +29 other locations,NaN,NaN,NaN,NaN
Vishakha Glass,4.0,135,"Job Security, Salary","Company Culture, Promotions",Mundra +11 other locations,NaN,NaN,NaN,NaN
SAG Infotech,3.4,135,NaN,"Work Satisfaction, Promotions, Company Culture",IT Services & Consulting | Jaipur +5 other locations,NaN,NaN,NaN,NaN
The West Coast Paper Mills,3.5,135,Job Security,"Promotions, Salary, Skill Development",Pulp & Paper | Dandeli +10 other locations,NaN,NaN,NaN,NaN
Dangote Industries,4.2,135,"Job Security, Work Life Balance, Work Satisfaction",Promotions,Building Material | Lagos +9 other locations,NaN,NaN,NaN,NaN
Rare Rabbit,3.6,136,NaN,"Promotions, Job Security, Company Culture",Fashion & Textile | Bengaluru +33 other locations,NaN,NaN,NaN,NaN
KWALITY DAIRY (INDIA),3.9,135,Salary,"Promotions, Skill Development",FMCG | New Delhi +16 other locations,NaN,NaN,NaN,NaN
Mutual Industries,3.2,135,NaN,"Promotions, Company Culture, Job Security",Petrochemicals | Mumbai +12 other locations,NaN,NaN,NaN,NaN
Harley-Davidson,3.5,135,NaN,"Job Security, Work Satisfaction, Promotions",Automobile | Gurugram +30 other locations,NaN,NaN,NaN,NaN
Tata Trusts,4.3,135,"Work Life Balance, Company Culture, Work Satisfaction",Promotions,Non-Profit | Mumbai +33 other locations,NaN,NaN,NaN,NaN
Dunkin' Donuts,3.7,135,Salary,"Work Life Balance, Work Satisfaction, Promotions",Hospitality | New Delhi +24 other locations,NaN,NaN,NaN,NaN
Kalyaniwalla & Mistry,3.4,135,NaN,"Promotions, Salary, Company Culture",Accounting & Auditing | Mumbai +9 other locations,NaN,NaN,NaN,NaN
Bristol Healthcare Services,3.1,135,NaN,"Company Culture, Promotions, Work Life Balance",BPO | Chennai +3 other locations,NaN,NaN,NaN,NaN
Homeocare International,3.5,135,NaN,"Promotions, Skill Development, Company Culture",Healthcare | Hyderabad +23 other locations,NaN,NaN,NaN,NaN
Ind Synergy,3.9,135,"Work Life Balance, Work Satisfaction, Job Security","Promotions, Skill Development",Engineering & Construction | Raigarh +10 other locations,NaN,NaN,NaN,NaN
Calling 24o7 Bpo Services,3.8,135,"Work Life Balance, Company Culture, Work Satisfaction","Promotions, Salary",BPO | Pune +9 other locations,NaN,NaN,NaN,NaN
Xihi Technology,3.5,135,NaN,"Job Security, Company Culture, Work Life Balance",Electronics Manufacturing | Noida +5 other locations,NaN,NaN,NaN,NaN
SAG Infotech,3.4,135,NaN,"Work Satisfaction, Promotions, Company Culture",IT Services & Consulting | Jaipur +5 other locations,NaN,NaN,NaN,NaN
Quatrro Mortgage Solutions,3.1,135,NaN,"Promotions, Work Satisfaction, Skill Development",Financial Services | Mumbai +8 other locations,NaN,NaN,NaN,NaN
Vishakha Glass,4.0,135,"Job Security, Salary","Company Culture, Promotions",Mundra +11 other locations,NaN,NaN,NaN,NaN
Lectrix Ev,3.6,135,NaN,"Job Security, Promotions, Work Satisfaction",Gurugram +15 other locations,NaN,NaN,NaN,NaN
Infotech,4.3,136,"Company Culture, Work Life Balance, Job Security",NaN,IT Services & Consulting | Hyderabad +34 other locations,NaN,NaN,NaN,NaN
Tilaknagar Industries Ltd.,4.1,135,"Work Life Balance, Salary, Company Culture",NaN,Beverage | Mumbai +25 other locations,NaN,NaN,NaN,NaN
Dangote Industries,4.2,135,"Job Security, Work Life Balance, Work Satisfaction",Promotions,Building Material | Lagos +9 other locations,NaN,NaN,NaN,NaN
Qbss,3.8,135,NaN,"Promotions, Salary",IT Services & Consulting | Coimbatore +4 other locations,NaN,NaN,NaN,NaN
Rare Rabbit,3.6,136,NaN,"Promotions, Job Security, Company Culture",Fashion & Textile | Bengaluru +33 other locations,NaN,NaN,NaN,NaN
Aurore Life Sciences,3.1,135,NaN,"Promotions, Company Culture, Salary",Pharma | Hyderabad +2 other locations,NaN,NaN,NaN,NaN
Yulu Bikes,4.0,135,Company Culture,Promotions,Internet | Bengaluru +8 other locations,NaN,NaN,NaN,NaN
Stemmons Business Services,4.1,135,"Company Culture, Work Life Balance, Job Security",NaN,BPO | Vadodara +1 other locations,NaN,NaN,NaN,NaN
Unique Infra Engineering India Private Limited,3.0,135,NaN,"Promotions, Salary, Job Security",Engineering & Construction | Lucknow +26 other locations,NaN,NaN,NaN,NaN
Hemani Industries,3.7,135,NaN,"Company Culture, Promotions, Job Security",Agro Chemicals | Bharuch +8 other locations,NaN,NaN,NaN,NaN
Supreme Petrochem,3.8,135,Job Security,"Promotions, Salary, Company Culture",Chemicals | Mumbai +8 other locations,NaN,NaN,NaN,NaN
The West Coast Paper Mills,3.5,135,Job Security,"Promotions, Salary, Skill Development",Pulp & Paper | Dandeli +10 other locations,NaN,NaN,NaN,NaN
Mochiko Shoes,3.6,135,Job Security,"Promotions, Work Life Balance, Work Satisfaction",Fashion & Textile | Dehradun +8 other locations,NaN,NaN,NaN,NaN
Kiran Motors,3.5,135,NaN,"Promotions, Company Culture, Salary",Auto Components | Ahmedabad +14 other locations,NaN,NaN,NaN,NaN
Vikram Tea,4.3,135,"Work Life Balance, Company Culture, Job Security",NaN,Financial Services | Mumbai +42 other locations,NaN,NaN,NaN,NaN
Shalimar Group,4.0,135,"Work Life Balance, Job Security",Promotions,Building Material | Lucknow +35 other locations,NaN,NaN,NaN,NaN
Aqua Group,4.1,135,"Work Satisfaction, Work Life Balance, Skill Development",Promotions,Industrial Machinery | Coimbatore +16 other locations,NaN,NaN,NaN,NaN
Lloyds Engineering Works Limited,4.1,135,"Job Security, Work Life Balance, Company Culture",NaN,Industrial Machinery | Mumbai +14 other locations,NaN,NaN,NaN,NaN
Dachser,3.8,135,Work Life Balance,"Promotions, Salary, Work Satisfaction",Logistics | Mumbai +17 other locations,NaN,NaN,NaN,NaN
Ashok Iron Group,3.6,135,NaN,"Promotions, Company Culture, Work Satisfaction",Iron & Steel | Belagavi +6 other locations,NaN,NaN,NaN,NaN
Sanathan Textiles,4.2,135,"Job Security, Work Life Balance, Work Satisfaction",Promotions,Fashion & Textile | Dadra & Nagar Haveli +12 other locations,NaN,NaN,NaN,NaN
Marino Food Products,3.9,135,Work Life Balance,Promotions,Food Processing | Hyderabad +39 other locations,NaN,NaN,NaN,NaN
Walkin Manpower Solution,4.4,135,"Work Life Balance, Skill Development, Company Culture",NaN,New Delhi +6 other locations,NaN,NaN,NaN,NaN
CASHe,3.3,135,NaN,"Job Security, Skill Development, Promotions",Financial Services | Mumbai +5 other locations,NaN,NaN,NaN,NaN
Speciality Restaurants,4.0,135,Job Security,Promotions,Hospitality | Mumbai +15 other locations,NaN,NaN,NaN,NaN
GlowTouch Technologies,3.0,135,NaN,"Promotions, Company Culture, Work Satisfaction",BPO | Mangaluru +6 other locations,NaN,NaN,NaN,NaN
CASHe,3.3,135,NaN,"Job Security, Skill Development, Promotions",Financial Services | Mumbai +5 other locations,NaN,NaN,NaN,NaN
Ashok Iron Group,3.6,135,NaN,"Promotions, Company Culture, Work Satisfaction",Iron & Steel | Belagavi +6 other locations,NaN,NaN,NaN,NaN
Dachser,3.8,135,Work Life Balance,"Promotions, Salary, Work Satisfaction",Logistics | Mumbai +17 other locations,NaN,NaN,NaN,NaN
Wings Pharmaceuticals,3.2,135,NaN,"Company Culture, Job Security, Promotions",Pharma | New Delhi +31 other locations,NaN,NaN,NaN,NaN
MAJID AL FUTTAIM RETAIL,3.1,135,NaN,"Promotions, Job Security, Company Culture",Retail | Gurugram +14 other locations,NaN,NaN,NaN,NaN
Monotech Systems,3.5,135,NaN,"Promotions, Company Culture, Work Satisfaction",Printing & Publishing | Chennai +21 other locations,NaN,NaN,NaN,NaN
THDC,4.1,135,"Work Life Balance, Job Security, Company Culture",NaN,Government | Rishikesh +18 other locations,NaN,NaN,NaN,NaN
Pratiti Technologies,3.3,135,NaN,"Promotions, Work Satisfaction, Job Security",Software Product | Pune,NaN,NaN,NaN,NaN
Star Estate,4.1,135,"Work Life Balance, Salary, Company Culture",NaN,Real Estate | Noida +11 other locations,NaN,NaN,NaN,NaN
Growisto,4.2,135,"Company Culture, Skill Development, Work Life Balance",NaN,Marketing & Advertising | Mumbai +2 other locations,NaN,NaN,NaN,NaN
Hicool Electronic Industries,3.9,135,"Company Culture, Skill Development, Work Life Balance",NaN,Electrical Equipment | Pune +8 other locations,NaN,NaN,NaN,NaN
Fragma Data Systems,3.9,135,Salary,"Job Security, Promotions",IT Services & Consulting | Bengaluru +4 other locations,NaN,NaN,NaN,NaN
Infinity Fincorp Solutions,4.3,135,"Work Life Balance, Company Culture, Work Satisfaction",NaN,Mumbai +55 other locations,NaN,NaN,NaN,NaN
Annet Technologies,3.7,135,Work Life Balance,"Promotions, Salary, Work Satisfaction",Software Product | Mumbai +5 other locations,NaN,NaN,NaN,NaN
Sigma,3.9,134,"Work Life Balance, Job Security, Skill Development",Promotions,Pharma | Pune +37 other locations,NaN,NaN,NaN,NaN
Facile Services,2.7,134,NaN,"Job Security, Promotions, Work Life Balance",IT Services & Consulting | Pune +1 other locations,NaN,NaN,NaN,NaN
PrimeXBT,4.6,134,"Work Satisfaction, Job Security, Salary",NaN,FinTech | London +3 other locations,NaN,NaN,NaN,NaN
Intact Green Services,3.4,134,NaN,"Promotions, Salary, Work Satisfaction",Urban Transport | Bengaluru +13 other locations,NaN,NaN,NaN,NaN
Prabha Industries,4.0,134,"Work Satisfaction, Skill Development, Job Security","Promotions, Salary",Chemicals | Bengaluru +10 other locations,NaN,NaN,NaN,NaN
Oriental Consultants India Pvt Ltd,3.9,134,Work Life Balance,"Job Security, Promotions, Skill Development",Engineering & Construction | New Delhi +18 other locations,NaN,NaN,NaN,NaN
Sarda Metals & Alloys,4.0,134,"Job Security, Work Life Balance, Company Culture",Salary,Metals & Mining | Visakhapatnam +6 other locations,NaN,NaN,NaN,NaN
Unified Infotech,4.2,134,"Work Life Balance, Salary, Company Culture",NaN,IT Services & Consulting | Kolkata +2 other locations,NaN,NaN,NaN,NaN
ToXSL Technologies,3.9,134,"Salary, Work Satisfaction, Promotions",NaN,IT Services & Consulting | Sahibzada Ajit Singh Nagar +13 other locations,NaN,NaN,NaN,NaN
Mytrah Energy,4.2,134,"Work Life Balance, Work Satisfaction, Skill Development",NaN,Power | Hyderabad +13 other locations,NaN,NaN,NaN,NaN
Urbanpro,3.6,134,NaN,"Job Security, Promotions, Salary",EdTech | Bengaluru +21 other locations,NaN,NaN,NaN,NaN
Century Rayon,3.9,134,"Job Security, Company Culture, Work Life Balance",Promotions,Fashion & Textile | Mumbai +8 other locations,NaN,NaN,NaN,NaN
Ebix Smartclass Educational Services,4.0,134,"Work Life Balance, Work Satisfaction",Promotions,EdTech | New Delhi +36 other locations,NaN,NaN,NaN,NaN
Aryan International,3.3,134,NaN,"Promotions, Company Culture, Job Security",Mumbai +31 other locations,NaN,NaN,NaN,NaN
Juego Studios,4.1,134,"Skill Development, Work Satisfaction, Company Culture","Promotions, Salary",Gaming | Bengaluru +3 other locations,NaN,NaN,NaN,NaN
Hansa Research Group,3.8,134,Job Security,Promotions,Analytics & KPO | Mumbai +18 other locations,NaN,NaN,NaN,NaN
Appy Pie,3.7,134,Work Life Balance,"Job Security, Promotions",IT Services & Consulting | Noida +5 other locations,NaN,NaN,NaN,NaN
Indian Potash,3.6,135,"Job Security, Work Life Balance","Promotions, Salary, Skill Development",Agro Chemicals | Muzaffarnagar +35 other locations,NaN,NaN,NaN,NaN
IPAC,3.2,134,NaN,"Job Security, Promotions, Work Life Balance",Retail | Kolkata +15 other locations,NaN,NaN,NaN,NaN
John Distilleries,3.8,134,"Work Life Balance, Job Security","Promotions, Salary",Beverage | Bengaluru +18 other locations,NaN,NaN,NaN,NaN
The Nuance Group AG,4.3,134,"Salary, Work Life Balance, Company Culture",Job Security,IT Services & Consulting | Bengaluru +8 other locations,NaN,NaN,NaN,NaN
91Squarefeet,3.3,134,NaN,"Job Security, Work Life Balance, Work Satisfaction",Internet | Gurugram +4 other locations,NaN,NaN,NaN,NaN
API Holdings,3.6,134,NaN,"Job Security, Promotions, Work Satisfaction",Fitness & Wellness | Mumbai +35 other locations,NaN,NaN,NaN,NaN
D Light Energy,3.6,134,Salary,"Promotions, Job Security, Work Satisfaction",Waste Management | Gurugram +36 other locations,NaN,NaN,NaN,NaN
Moolya Software Testing,3.3,134,NaN,"Promotions, Salary, Job Security",IT Services & Consulting | Bengaluru +6 other locations,NaN,NaN,NaN,NaN
Express KCS,3.5,134,NaN,"Promotions, Skill Development, Salary",Marketing & Advertising | New Delhi +8 other locations,NaN,NaN,NaN,NaN
C2L BIZ,3.1,134,NaN,"Salary, Promotions, Skill Development",Internet | Mumbai +5 other locations,NaN,NaN,NaN,NaN
Crimsoune Club,3.7,134,Work Life Balance,"Salary, Promotions",Fashion & Textile | New Delhi +39 other locations,NaN,NaN,NaN,NaN
Telegence Powercomm,3.4,134,NaN,"Company Culture, Job Security, Promotions",Engineering & Construction | Vadodara +39 other locations,NaN,NaN,NaN,NaN
Ampcus Tech,4.0,138,"Company Culture, Work Life Balance, Work Satisfaction",NaN,Nashik +10 other locations,NaN,NaN,NaN,NaN
Planet EDU,3.2,134,NaN,"Promotions, Salary, Job Security",EdTech | Gurugram +24 other locations,NaN,NaN,NaN,NaN
GLOBALFOUNDRIES,3.2,134,NaN,"Promotions, Job Security, Work Satisfaction",Semiconductors | Bengaluru +6 other locations,NaN,NaN,NaN,NaN
PSG Hospitals,4.0,134,"Job Security, Work Life Balance, Skill Development","Promotions, Salary",Healthcare | Coimbatore +5 other locations,NaN,NaN,NaN,NaN
AIT Global,3.2,134,NaN,"Work Satisfaction, Skill Development, Company Culture",IT Services & Consulting | Pune +5 other locations,NaN,NaN,NaN,NaN
AstraGen,3.6,134,NaN,"Promotions, Company Culture, Job Security",EdTech | Vijayawada +22 other locations,NaN,NaN,NaN,NaN
Ace Creative Learning,3.8,134,"Work Life Balance, Salary",Promotions,Design | Bengaluru +15 other locations,NaN,NaN,NaN,NaN
